MLS #,Cat,Status,Address,City,County,Building Units Total,Sub Type,Status Contractual Search Date,List Office Name,Current Price
PAPH2166838,MUL,C/S,2214 N Camac St,Philadelphia,"Philadelphia, PA",4,Quadruplex,10/17/2022,"Compass Pennsylvania, LLC (COMPASS12)","$1,067,000 "
PAPH2166828,MUL,C/S,1611 N 17th St,Philadelphia,"Philadelphia, PA",4,Quadruplex,10/17/2022,"Compass Pennsylvania, LLC (COMPASS12)","$1,160,000 "
PABU2036992,MUL,C/S,345 E Dark Hollow Rd,Pipersville,"Bucks, PA",4,Quadruplex,10/13/2022,Keller Williams Real Estate - Newtown (55529),"$545,000 "
PADE2035664,MUL,ACT,"914, 916, 918, 920 Macadam St",Chester,"Delaware, PA",1,Quadruplex,10/10/2022,Bagelman Realty (BAGLM1),"$520,000 "
PAPH2168724,MUL,ACT,2118-20 N Gratz St,Philadelphia,"Philadelphia, PA",4,Quadruplex,10/11/2022,RE/MAX Access (RMACCS),"$285,000 "
PAPH2168062,MUL,ACT,4219 W Girard Ave,Philadelphia,"Philadelphia, PA",4,Quadruplex,10/10/2022,Keller Williams Philly (55962),"$800,000 "
PAPH2167582,MUL,ACT,1517 N Stillman St,Philadelphia,"Philadelphia, PA",4,Quadruplex,10/7/2022,Keller Williams Philly (55962),"$1,250,000 "
PAPH2164308,MUL,ACT,3213 Haverford Ave,Philadelphia,"Philadelphia, PA",4,Quadruplex,10/6/2022,JBMP Group (JBMPG1),"$1,600,000 "
PAPH2167380,MUL,ACT,1604 W Louden St,Philadelphia,"Philadelphia, PA",1,Other,10/6/2022,Keller Williams Philadelphia (KELWLMCC),"$84,900 "
PAPH2165318,MUL,ACT,132 Chestnut St,Philadelphia,"Philadelphia, PA",4,Quadruplex,10/5/2022,National Realty Old City LLC - NJ (55771),"$1,750,000 "
PAMC2053474,MUL,ACT,24 Coolidge Ave,Pottstown,"Montgomery, PA",4,Quadruplex,10/5/2022,Glocker & Company-Boyertown (GLOCKR-B),"$750,000 "
PADE2035318,MUL,ACT,224 Long Ln,Upper Darby,"Delaware, PA",1,Other,10/4/2022,Realty Mark Associates-CC (RLTYMKCC),"$398,888 "
PAPH2166510,MUL,ACT,719 N 16th St,Philadelphia,"Philadelphia, PA",4,Quadruplex,10/4/2022,Keller Williams Philly (55962),"$1,950,000 "
PAPH2165446,MUL,ACT,"326,328,330-32, 334-36-38 E Girard",Philadelphia,"Philadelphia, PA",4,Other,10/4/2022,"Leibovitz Real Estate, LLC (C21LEIB)","$2,475,000 "
PAPH2166038,MUL,ACT,2331 N 25th St,Philadelphia,"Philadelphia, PA",4,Quadruplex,10/3/2022,Realty Xpress (RLTYXPRS),"$459,000 "
PAPH2164650,MUL,ACT,1726-28 W Susquehanna Ave,Philadelphia,"Philadelphia, PA",4,Quadruplex,10/3/2022,Keller Williams Philly (55962),"$1,300,000 "
